[22:20:11] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.18.2
[22:20:11] [main/INFO]: Loading 4 mods:
	- fabricloader 0.18.2
	   \-- mixinextras 0.5.0
	- java 17
	- minecraft 1.20.1
[22:20:11] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/server/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.16.5+mixin.0.8.7/sponge-mixin-0.16.5+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[22:20:21] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:20:25] [main/INFO]: Loaded 7 recipes
[22:20:25] [main/INFO]: Loaded 1271 advancements
[22:20:26] [Server thread/INFO]: Starting minecraft server version 1.20.1
[22:20:26] [Server thread/INFO]: Loading properties
[22:20:26] [Server thread/INFO]: Default game type: SURVIVAL
[22:20:26] [Server thread/INFO]: Generating keypair
[22:20:26] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:20:26] [Server thread/INFO]: Using epoll channel type
[22:20:26] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[22:20:26] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[22:20:26] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[22:20:26] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[22:20:26] [Server thread/INFO]: Preparing level "world"
[22:20:42] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:20:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[22:20:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
